DatGeracaoConjuntoDados;SigTipoGeracao;QtdUsinasPeriodo;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2024-09-01;UTN;2;1990000,00;6 ;2018
2024-09-01;EOL;529;12920942,86;6 ;2018
2024-09-01;UFV;2231;1306505,63;6 ;2018
2024-09-01;UHE;218;96414819,88;9 ;2018
2024-09-01;PCH;427;5117516,57;9 ;2018
2024-09-01;CGH;692;690302,48;9 ;2018
2024-09-01;CGU;1;50,00;9 ;2018
2024-09-01;UTE;3001;41337215,60;9 ;2018
2024-09-01;UTN;2;1990000,00;9 ;2018
2024-09-01;EOL;544;13370642,86;9 ;2018
2024-09-01;UFV;2254;1322173,36;9 ;2018
2024-09-01;EOL;629;15377852,86;12;2019
2024-09-01;CGH;719;767788,23;12;2019
2024-09-01;UFV;3769;2473431,90;12;2019
2024-09-01;CGU;1;50,00;12;2019
2024-09-01;PCH;423;5291461,57;12;2019
2024-09-01;UHE;217;102998876,00;12;2019
2024-09-01;UTE;3035;41127061,59;12;2019
2024-09-01;UTN;2;1990000,00;12;2019
2024-09-01;EOL;606;14872792,86;3 ;2019
2024-09-01;CGH;698;708002,22;3 ;2019
2024-09-01;UFV;2469;2074002,16;3 ;2019
2024-09-01;CGU;1;50,00;3 ;2019
2024-09-01;PCH;426;5183755,57;3 ;2019
2024-09-01;UHE;217;98581477,99;3 ;2019
2024-09-01;UTE;3009;40438359,89;3 ;2019
2024-09-01;UTN;2;1990000,00;3 ;2019
2024-09-01;EOL;614;15063892,86;6 ;2019
2024-09-01;CGH;703;717037,29;6 ;2019
2024-09-01;UFV;2474;2103238,52;6 ;2019
2024-09-01;CGU;1;50,00;6 ;2019
2024-09-01;PCH;426;5228425,57;6 ;2019
2024-09-01;UHE;217;99922633,55;6 ;2019
2024-09-01;UTE;3014;40453558,89;6 ;2019
2024-09-01;UTN;2;1990000,00;6 ;2019
2024-09-01;EOL;618;15145092,86;9 ;2019
2024-09-01;CGH;713;744223,59;9 ;2019
2024-09-01;UFV;3052;2267553,52;9 ;2019
2024-09-01;CGU;1;50,00;9 ;2019
2024-09-01;PCH;425;5232465,57;9 ;2019
2024-09-01;UHE;217;100834417,11;9 ;2019
2024-09-01;UTE;3022;40948974,49;9 ;2019
2024-09-01;UTN;2;1990000,00;9 ;2019
2024-09-01;EOL;681;17131162,86;12;2020
2024-09-01;CGH;737;815528,84;12;2020
2024-09-01;UFV;3912;3287114,25;12;2020
2024-09-01;CGU;1;50,00;12;2020
2024-09-01;PCH;421;5428681,57;12;2020
2024-09-01;UHE;219;103026876,00;12;2020
2024-09-01;UTE;3069;42980099,39;12;2020
2024-09-01;UTN;2;1990000,00;12;2020
2024-09-01;EOL;636;15495027,86;3 ;2020
2024-09-01;CGH;731;794686,23;3 ;2020
2024-09-01;UFV;3885;2679046,35;3 ;2020
2024-09-01;CGU;1;50,00;3 ;2020
2024-09-01;PCH;422;5307562,57;3 ;2020
2024-09-01;UHE;217;102998876,00;3 ;2020
2024-09-01;UTE;3054;42495516,59;3 ;2020
2024-09-01;UTN;2;1990000,00;3 ;2020
2024-09-01;EOL;645;15722532,86;6 ;2020
2024-09-01;CGH;733;802630,13;6 ;2020
2024-09-01;UFV;3895;2927973,95;6 ;2020
2024-09-01;CGU;1;50,00;6 ;2020
2024-09-01;PCH;416;5300908,57;6 ;2020
2024-09-01;UHE;219;103002876,00;6 ;2020
2024-09-01;UTE;3058;42958619,59;6 ;2020
2024-09-01;UTN;2;1990000,00;6 ;2020
2024-09-01;EOL;657;16204422,86;9 ;2020
2024-09-01;CGH;736;809534,77;9 ;2020
2024-09-01;UFV;3904;3017726,25;9 ;2020
2024-09-01;CGU;1;50,00;9 ;2020
2024-09-01;PCH;420;5380268,57;9 ;2020
2024-09-01;UHE;219;103026876,00;9 ;2020
2024-09-01;UTE;3064;43023164,89;9 ;2020
2024-09-01;UTN;2;1990000,00;9 ;2020
2024-09-01;EOL;789;20771078,86;12;2021
2024-09-01;CGH;732;833619,67;12;2021
2024-09-01;UFV;5144;4632245,56;12;2021
2024-09-01;CGU;1;50,00;12;2021
2024-09-01;PCH;426;5513046,57;12;2021
2024-09-01;UHE;218;103003362,00;12;2021
2024-09-01;UTE;3103;44789325,29;12;2021
2024-09-01;UTN;2;1990000,00;12;2021
2024-09-01;EOL;704;17729872,86;3 ;2021
2024-09-01;CGH;740;826661,59;3 ;2021
2024-09-01;UFV;4129;3291221,65;3 ;2021
2024-09-01;CGU;1;50,00;3 ;2021
2024-09-01;PCH;425;5461081,57;3 ;2021
2024-09-01;UHE;219;103026876,00;3 ;2021
2024-09-01;UTE;3080;42763716,39;3 ;2021
2024-09-01;UTN;2;1990000,00;3 ;2021
2024-09-01;EOL;725;18559237,86;6 ;2021
2024-09-01;CGH;725;851389,42;6 ;2021
2024-09-01;UFV;4282;3360139,21;6 ;2021
2024-09-01;CGU;1;50,00;6 ;2021
2024-09-01;PCH;426;5473567,57;6 ;2021
2024-09-01;UHE;219;103026516,00;6 ;2021
2024-09-01;UTE;3090;42896765,59;6 ;2021
2024-09-01;UTN;2;1990000,00;6 ;2021
2024-09-01;EOL;753;19437898,86;9 ;2021
2024-09-01;CGH;731;865224,42;9 ;2021
2024-09-01;UFV;4357;3837706,85;9 ;2021
2024-09-01;CGU;1;50,00;9 ;2021
2024-09-01;PCH;424;5499600,57;9 ;2021
2024-09-01;UHE;219;103026516,00;9 ;2021
2024-09-01;UTE;3100;44566076,57;9 ;2021
2024-09-01;UTN;2;1990000,00;9 ;2021
2024-09-01;EOL;883;23727623,86;12;2022
2024-09-01;CGH;719;861390,42;12;2022
2024-09-01;UFV;17950;7337010,87;12;2022
2024-09-01;PCH;428;5662018,57;12;2022
2024-09-01;UHE;215;103195357,00;12;2022
2024-09-01;UTE;3033;46207492,81;12;2022
2024-09-01;UTN;2;1990000,00;12;2022
2024-09-01;EOL;812;21585878,86;3 ;2022
2024-09-01;CGH;737;844777,92;3 ;2022
2024-09-01;UFV;8587;4879596,61;3 ;2022
2024-09-01;CGU;1;50,00;3 ;2022
2024-09-01;PCH;430;5576996,57;3 ;2022
2024-09-01;UHE;218;103003362,00;3 ;2022
2024-09-01;UTE;3114;44954687,71;3 ;2022
2024-09-01;UTN;2;1990000,00;3 ;2022
2024-09-01;EOL;824;21886178,86;6 ;2022
2024-09-01;CGH;729;838183,12;6 ;2022
2024-09-01;UFV;11283;5097769,98;6 ;2022
2024-09-01;CGU;1;50,00;6 ;2022
2024-09-01;PCH;430;5607600,57;6 ;2022
2024-09-01;UHE;218;103008362,00;6 ;2022
2024-09-01;UTE;3121;45165147,71;6 ;2022
2024-09-01;UTN;2;1990000,00;6 ;2022
2024-09-01;EOL;846;22535988,86;9 ;2022
2024-09-01;CGH;733;847895,22;9 ;2022
2024-09-01;UFV;14624;6457903,97;9 ;2022
